sr.no,test.summary,test.description,http.path,http.method,input.json,assertion,test_case_id,response.code,module
58,get_updated_rate_card,GET : updated_rest_rate_card should be displayed : 200,pd/monetaryratecard/monetary-rate-card/rest_monetary_rate_card_11111111.json,GET,,,33802,200,rate card
59,update_rate_card_group,PUT : Update rest_rate_card_group and change name to updated_rest_rate_card_group : 200,pd/ratecardgroup/rate-card-group/rest_rate_card_group_11111111.json,PUT,update_addon_rate_card_group.json,,33803,200,rate card group
60,get_updated_rate_card_group,GET : updated_rest_rate_card_group should be displayed : 200,pd/ratecardgroup/rate-card-group/rest_rate_card_group_11111111.json,GET,,,33804,200,rate card group
61,delete_rnc_addon,DELETE : Delete  updated_rest_rnc_addon : 200,pd/rncpackage/rnc-package/rest_rnc_addon_11111111.json,DELETE,,,33805,200,rnc addon package
62,get_deleted_rnc_addon,GET :  updated_rest_rnc_addon should not be displayed : 404,pd/rncpackage/rnc-package/rest_rnc_addon_11111111.json,GET,,"{""actionErrors"":[""RnC Package Not Found with id rest_rnc_addon_11111111""]}",33806,404,rnc addon package
63,get_deleted_rate_card,GET :  updated_rest_rate_card should not be displayed : 404,pd/monetaryratecard/monetary-rate-card/rest_rate_card_11111111.json,GET,,"{""actionErrors"":[""Monetary Rate Card Not Found with id: rest_rate_card_11111111""]}",33807,404,rate card
64,get_deleted_rate_card_group,GET :  updated_rest_rate_card_group should not be displayed : 404,pd/ratecardgroup/rate-card-group/rest_rate_card_group_11111111.json,GET,,"{""actionErrors"":[""Rate Card Group Not Found with id: rest_rate_card_group_11111111""]}",33808,404,rate card group
65,create_rnc_non_monetary_addon,POST : Create Rnc Non Monetary AddOn rest_rnc_non_monetary_addon : 201,pd/rncpackage/rnc-package.json,POST,create_non_monetary_rnc_addon.json,,33891,201,rnc addon package
66,get_created_rnc_non_monetary_addon,GET : rest_rnc_non_monetary_addon should be displayed : 200,pd/rncpackage/rnc-package/rest_rnc_nonmonetary_addon_11111111.json,GET,,,33892,200,rnc addon package
67,create_non_monetary_rate_card,POST : Create Non Monetary Rate card rest_non_monetary_rate_card : 201,pd/nonmonetaryratecard/non-monetary-rate-card.json,POST,create_non_monetary_addon_rate_card.json,,33893,201,non monetary rate card
68,get_created_non_monetary_rate_card,GET : rest_non_monetary_rate_card should be displayed : 200,pd/nonmonetaryratecard/non-monetary-rate-card/rest_non_monetary_rate_card_11111111.json,GET,,,33894,200,non monetary rate card
69,create_rate_card_group,POST : Create Rate card group rest_rate_card_group : 201,pd/ratecardgroup/rate-card-group.json,POST,create_non_monetary_addon_rate_card_group.json,,33895,201,rate card group
70,get_rate_card_group,GET : rest_rate_card_group should be displayed : 200,pd/ratecardgroup/rate-card-group/rest_non_monetary_rcg_11111111.json,GET,,,33896,200,rate card group
71,update_rnc_non_monetary_addon,PUT : Update rest_rnc_non_monetary_addon and change name to updated_rest_rnc_non_monetary_addon : 200,pd/rncpackage/rnc-package/rest_rnc_nonmonetary_addon_11111111.json,PUT,update_non_monetary_rnc_addon.json,,33897,200,rnc addon package
72,get_updated_rnc_addon,GET : updated_rest_rnc_non_monetary_addon should be displayed : 200,pd/rncpackage/rnc-package/rest_rnc_nonmonetary_addon_11111111.json,GET,,,33898,200,rnc addon package
73,update_non_monetary_rate_card,PUT : Update rest_non_monetary_rate_card  and change name to updated_rest_non_monetary_rate_card  : 200,pd/nonmonetaryratecard/non-monetary-rate-card/rest_non_monetary_rate_card_11111111.json,PUT,update_non_monetary_addon_rate_card.json,,33899,200,non monetary rate card
74,get_updated_rate_card,GET : updated_rest_non_monetary_rate_card should be displayed : 200,pd/nonmonetaryratecard/non-monetary-rate-card/rest_non_monetary_rate_card_11111111.json,GET,,,33900,200,non monetary rate card
75,update_rate_card_group,PUT : Update rest_rate_card_group and change name to updated_rest_rate_card_group : 200,pd/ratecardgroup/rate-card-group/rest_non_monetary_rcg_11111111.json,PUT,update_non_monetary_addon_rate_card_group.json,,33901,200,rate card group
76,get_updated_rate_card_group,GET : updated_rest_rate_card_group should be displayed : 200,pd/ratecardgroup/rate-card-group/rest_non_monetary_rcg_11111111.json,GET,,,33902,200,rate card group
77,delete_non_monetary_rnc_addon,DELETE : Delete  updated_rest_rnc_non_monetary_addon : 200,pd/rncpackage/rnc-package/rest_rnc_nonmonetary_addon_11111111.json,DELETE,,,33903,200,rnc addon package
78,get_deleted_non_monetary_rnc_addon,GET :  updated_rest_rnc_non_monetary_addon should not be displayed : 404,pd/rncpackage/rnc-package/rest_rnc_nonmonetary_addon_11111111.json,GET,,"{""actionErrors"":[""RnC Package Not Found with id rest_rnc_nonmonetary_addon_11111111""]}",33904,404,rnc addon package
79,get_deleted_rate_card,GET :  updated_rest_non_monetary_rate_card should not be displayed : 404,pd/nonmonetaryratecard/non-monetary-rate-card/rest_non_monetary_rate_card_11111111.json,GET,,"{""actionErrors"":[""NonMonetary Rate Card Not Found with id: rest_non_monetary_rate_card_11111111""]}",33905,404,non monetary rate card
80,get_deleted_rate_card_group,GET :  updated_rest_rate_card_groupshould not be displayed : 404,pd/ratecardgroup/rate-card-group/rest_non_monetary_rcg_11111111.json,GET,,"{""actionErrors"":[""Rate Card Group Not Found with id: rest_non_monetary_rcg_11111111""]}",33906,404,rate card group
